"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2013-23",2,13,40,83.3116147308782,57.2011331444759,4.72910662824207,"2013-22"
"2013-24",0,15,6,82.2817869415807,57.3883161512028,5.07665505226481,"2013-23"
"2013-25",28,50,16,75.4135021097047,59.6962025316456,4.57805907172996,"2013-24"
"2013-26",32,80,0,85.6410256410256,69.6698717948718,5.97749196141479,"2013-25"
"2013-27",69,140,0,82.7029288702929,73.3347280334728,6.08300395256917,"2013-26"
"2013-28",40,126,0,87.4619718309859,70.7909604519774,3.64022662889518,"2013-27"
"2013-29",86,139,0,81.1698841698842,72.5328185328185,3.29457364341086,"2013-28"
"2013-30",40,85,0,84.7473684210526,67.7754385964912,4.92631578947368,"2013-29"
"2013-31",28,73,0,81.2807692307692,64.4961538461538,2.97683397683398,"2013-30"
"2013-32",16,63,27,79.8044280442805,62.1455223880597,4.97047970479705,"2013-31"
"2013-33",11,36,5,81.8430656934306,58.551094890511,2.16423357664234,"2013-32"
"2013-34",31,60,29,78.7736625514403,60.7818930041152,2.79012345679012,"2013-33"
"2013-35",16,65,0,87.2012578616352,67.625786163522,4.34591194968554,"2013-34"
"2013-36",12,62,68,83.5454545454546,60.6590909090909,3.76547231270358,"2013-35"
"2013-37",13,30,52,80.563981042654,58.3317535545024,3.90661478599222,"2013-36"
"2013-38",2,14,124,81.4673202614379,50.6633986928105,3.11475409836065,"2013-37"
"2013-39",0,0,126,80.42,48.22,2.15322580645161,"2013-38"
"2013-40",8,19,148,87.0278481012658,52.1772151898734,1.47969543147208,"2013-39"
"2013-41",0,14,170,84.751497005988,49.5359281437126,3.22289156626507,"2013-40"
"2013-42",0,0,206,84.8463687150838,45.5083798882682,2.31372549019608,"2013-41"
"2013-43",0,0,134,71.1039603960396,39.3316831683168,3.77722772277228,"2013-42"
"2013-44",0,0,155,80.36,42.772,4.432,"2013-43"
"2013-45",0,0,121,72.96875,40.859375,5.58031088082901,"2013-44"
"2013-46",0,0,170,67.3924050632912,37.253164556962,5.54008438818566,"2013-45"
"2013-47",0,0,138,63.9362745098039,38.6372549019608,7.23039215686275,"2013-46"
"2013-48",0,0,176,69.7732793522267,38.6032388663968,7.5748987854251,"2013-47"
"2013-49",0,0,185,82.7026022304833,39.7806691449814,3.76951672862453,"2013-48"
"2013-50",0,0,320,76.96875,28.984375,5.00312499999999,"2013-49"
"2013-51",0,0,159,70.5898617511521,34.2811059907834,6.54166666666667,"2013-50"
"2013-52",0,0,229,74.038961038961,32.5974025974026,4.60869565217391,"2013-51"
"2014-01",0,0,317,71.2082018927445,22.2555205047319,5.86435331230283,"2013-52"
"2014-02",0,0,184,71.3764705882353,33.3372549019608,7.32042253521127,"2014-01"
"2014-03",0,0,309,86.1481481481482,36.6882716049383,3.86111111111111,"2014-02"
